title,href,date,description,keywords
"Replication Data for ""Can Institutions Make Voters Care about Corruption?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/85RL5E,"Apr 21, 2019",The dataverse includes three datasets and three Stata do-files with the codes: One dataset (Study_1_Data) and do-file (Study_1_Do) contain the materials necessary to conduct the Study 1 analyses (including analyses that appear in the Online Appendix). The Appendix_media_analysis_data dataset and the Appendix_media_analysis_do contain the materials necessary to conduct the media analysis we report in the Online Appendix. And the Study_2_Data dataset and the Study_2_Do do-file contain the materials necessary to conduct the Study 2 analyses (including analyses that appear in the Online Appendix). (2019-04-08),"Corruption, voting, salience, information, survey experiment"
"Replication material for ""Coalition Policy Perceptions""",/dataset.xhtml?persistentId=doi:10.7910/DVN/PLS50O,"Apr 21, 2019",Replication data and code in Stata (2009-04-08),
"Replication Data for: ""Public Reactions to International Legal Institutions: The ICC in a Developing Democracy""",/dataset.xhtml?persistentId=doi:10.7910/DVN/DUW1QY,"Apr 9, 2019","These are the replication data and scripts for ""Public Reactions to International Legal Institutions: The ICC in a Developing Democracy"". (2019-04-03)",
"Replication Data for ""The Black Market Blues: The Political Costs of Illicit Currency Markets""",/dataset.xhtml?persistentId=doi:10.7910/DVN/GBZZXL,"Apr 3, 2019","The dataverse includes two datasets: A nationally representative survey of 4,300 Argentine citizens with an embedded list experiment, and a time-series dataset with monthly observations of presidential approval in Argentina from December 2007 to November 2015. The data and code reproduce all results in the manuscript Schiumerini & Steinberg ""The Black Market Blues: The Political Costs of Illicit Currency Markets."" (2019-03-25)",
Replication Data for: The Environmental Costs of Civil War: A Synthetic Comparison of the Congolese Forests with and without the Great War of Africa,/dataset.xhtml?persistentId=doi:10.7910/DVN/CRV0IP,"Apr 2, 2019","Please download and open the 7z file with 7-zip (https://www.7-zip.org/), and then carefully read the readme.txt file and follow its instruction. I used the 7z file format as Dataverse returns ""Upload unsuccessful (504: GATEWAY_TIMEOUT)"" error when I tried to upload the file in a zip file format. (2019-03-15)","civil war, deforestation, the Democratic Republic of the Congo, GIS, synthetic control, conflict timber"
Replication Data for: The importance of candidate sex and partisan preference over time: A multiday study of voter decision-making,/dataset.xhtml?persistentId=doi:10.7910/DVN/SXLXNV,"Apr 1, 2019","This data replicates the findings published in the Journal of Politics article ""The importance of candidate sex and partisan preference over time: A multi-day study of voter decision-making"". This experiment was fielded in November of 2015 and recruited approximately 400 subjects from Amazon's Mechanical Turk. (2015-11-15)","Dynamic Process Tracing Environment, Candidate sex, Voter decision-making, Candidate evaluation"
"Replication Data for: Gender Quotas, Women's Representation, and Legislative Diversity",/dataset.xhtml?persistentId=doi:10.7910/DVN/9TFMSG,"Mar 26, 2019","Replication data and code for ""Gender Quotas, Women's Representation, and Legislative Diversity"" (2019-03-22)","Gender quotas, diversity, subnational legislatures, political recruitment, pipeline professions"
"Replication Data for: Race, Party, and Representation in Criminal Justice Politics",/dataset.xhtml?persistentId=doi:10.7910/DVN/GIJBUU,"Mar 20, 2019","Data from the GSS, African American Men's Survey, and AP-NORC Survey used in ""Race, Party, and Representation in Criminal Justice Politics"" are available in this repository, as well as code for replicating graphs/tables and codebooks for surveys.",
Replication Data for: Police Violence and Public Perceptions:  An Experimental Study of How Information and Endorsements Affect Support for Law Enforcement,/dataset.xhtml?persistentId=doi:10.7910/DVN/V83FXD,"Mar 20, 2019","Incidents of police violence can undermine trust in legal authorities. Whether such incidents have this effect will depend on how citizens evaluate victims, the police, and public officials. Citizens’ evaluations may be shaped by information about: 1) a pattern of police violence and 2) government responses. We study citizens’ reactions to police violence by randomly assigning these two types of information in the context of the Stephon Clark shooting in Sacramento. We find that information influences levels of blame for and trust in the police, but the effects depend on citizens’ race and whether they live in the community where the violence occurred. In contrast, information does not alter citizens’ perceptions of local police officer organizations and, in turn, their willingness to follow police endorsements in elections. These results suggest a catch-22 whereby police violence can diminish the standing of police personnel, but favorable local opinion preserves their political influence.","police violence, endorsement, trust, blame attribution, local elections"
Replication Data for: Lethal Force in Black and White: Assessing Racial Disparities in the Circumstances of Police Killings,/dataset.xhtml?persistentId=doi:10.7910/DVN/3RNFFH,"Mar 20, 2019",Data and R code to replicate the findings reported in the publication: Lethal Force in Black and White: Assessing Racial Disparities in the Circumstances of Police Killings. See README file for details.,"Policing, Race and Ethnicity, Lethal Force, Black Lives Matter"
"Replication Data for ""How Governing as a Junior Coalition Partner Influences Electoral Outcomes""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KVIJSY,"Mar 20, 2019",Replication data and code in R and Stata (2019-03-19),
Replication Data for: Combining Patronage and Merit in Public Sector Recruitment,/dataset.xhtml?persistentId=doi:10.7910/DVN/O0JVDU,"Mar 20, 2019",These files include the dataset and replication code for: Combining Patronage and Merit in Public Sector Recruitment (Brierley). (2019-03-17),
Replication Data for: Moderation or Strategy? Political Giving by Corporations and Trade Groups,/dataset.xhtml?persistentId=doi:10.7910/DVN/DQCFUN,"Mar 18, 2019","Data, codebook, and R code to replicate the findings reported in the publication: Moderation of Strategy? Political Giving by Corporations and Trade Groups (2019-03-05)",
Replication Data for: Teflon Don? Or Politics as Usual? An Examination of Foreign Policy Flip-Flops in the Age of Trump,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZBVYXZ,"Mar 14, 2019","Included are the replication datasets and Stata do file for ""Teflon Don? Or Politics as Usual? An Examination of Foreign Policy Flip-Flops in the Age of Trump,"" by Sarah Croco, Jared McDonald, and Candace Turitto. (2018)",
Replication Data for: Responsive Campaigning: Evidence from European Parties,/dataset.xhtml?persistentId=doi:10.7910/DVN/IOPELZ,"Mar 12, 2019","Replication data and code for ""Responsive Campaigning: Evidence from European Parties"". Includes raw dataset of pre-election polls used in the study (2019-03-12)",
Replication Data for: Understanding Partisan Cue Receptivity: Tests of Predictions from the Bounded Rationality and Expressive Utility Perspectives,/dataset.xhtml?persistentId=doi:10.7910/DVN/8HFVU8,"Mar 3, 2019","Replication data and code for ""Replication Data for: Understanding Partisan Cue Receptivity: Tests of Predictions from the Bounded Rationality and Expressive Utility Perspectives"" (2019-03-01)","Partisan cues, Motivated reasoning, Political cognition, Social identity, Cognitive resources"
"Opportunistic election timing, a complement or substitute for economic manipulation?",/dataset.xhtml?persistentId=doi:10.7910/DVN/UMSSKG,"Feb 28, 2019",File includes data for 23 parliamentary democracies to test the relationship between dissolution powers and economic manipulation. (2017-06-01),"Election timing, early elections, economic manipulation, budget cycles, incumbent opportunism"
Replication Data for: Social Welfare Policy Outputs and Governing Parties’ Left-Right Images: Do Voters Respond?,/dataset.xhtml?persistentId=doi:10.7910/DVN/QNCRWS,"Feb 25, 2019","Stata data file and do file for replication of ""Social Welfare Policy Outputs and Governing Parties’ Left-Right Images: Do Voters Respond?""",
Replication Data for: Responsiveness If You Can Afford It: Policy Responsiveness in Good and Bad Economic Times,/dataset.xhtml?persistentId=doi:10.7910/DVN/I32PHE,"Feb 25, 2019","Replication files for ""Responsiveness If You Can Afford It: Policy Responsiveness in Good and Bad Economic Times.""",
"Leader Age, Death, and Political Liberalization in Dictatorships",/dataset.xhtml?persistentId=doi:10.7910/DVN/OOLBO9,"Feb 25, 2019","Replication code and associated data for Leader Age, Death, and Political Liberalization in Dictatorships","Authoritarianism, Leaders, Succession, Regime Stability"
Replication Data for: Industry Politicization and Interest Group Campaign Contribution Strategies,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZTTCOX,"Feb 21, 2019","These files replicate all results in the article, ""Industry Politicization and Interest Group Campaign Contribution Strategies"" in the Journal of Politics. (2019-02-07)",
Replication Data for: Partisan Consumerism: Experimental Tests of Consumer Reactions to Corporate Political Activity,/dataset.xhtml?persistentId=doi:10.7910/DVN/DWOBT4,"Feb 21, 2019","Replication data and code for ""Partisan Consumerism: Experimental Tests of Consumer Reactions to Corporate Political Activity"" (2019-02-10)","Partisan Consumerism, Boycotts, Buycotts"
Replication Data for: Do Women Vote Less Correctly? The Effect of Gender on Ideological Proximity Voting and Correct Voting,/dataset.xhtml?persistentId=doi:10.7910/DVN/RQZWE6,"Feb 21, 2019",Data and do-file to replicate the analyses in the manuscript and supplementary materials of 'Do Women Vote Less Correctly? The Effect of Gender on Ideological Proximity Voting and Correct Voting',
"Replication Data for: DeSante and Smith (2019) ""Less is More""",/dataset.xhtml?persistentId=doi:10.7910/DVN/M89XMZ,"Feb 15, 2019",Less is More: A Cross-Generational Analysis of the Nature and Role of Racial Attitudes in the 21st Century (2019-01-28),"racial resentment, Millennials, politics"
The Power to Hurt and the Effectiveness of International Sanctions,/dataset.xhtml?persistentId=doi:10.7910/DVN/NAMZXJ,"Feb 14, 2019","Includes data and code for replication, as well as supplementary online appendix. (2019-02-04)",sanctions; power; comparative advantage; conflict; trade
Unequal Returns to Education: How Women Teachers Narrow the Gender Gap in Political Knowledge,/dataset.xhtml?persistentId=doi:10.7910/DVN/8GABL3,"Feb 14, 2019","Administrative data used in regression analyses to test for interactions among student gender, teacher gender, and performance on a state civics and economics exam. Data were provided by the North Carolina Education Research Data Center. To maintain privacy of the individuals involved in the study, all of whom were public high school students, we are not permitted to share our dataset. We have instead posted a copy of the data use agreement and a Stata do file and codebook for the main regression analysis used in the paper.","standardized test scores, civics knowledge, gender, representative bureauracracy"
Replication Data for: Does Voting Have Upstream and Downstream Consequences? Regression Discontinuity Tests of the Transformative Voting Hypothesis,/dataset.xhtml?persistentId=doi:10.7910/DVN/N4RK1D,"Feb 6, 2019","This contains replication data for ""Does Voting Have Upstream and Downstream Consequences? Regression Discontinuity Tests of the Transformative Voting Hypothesis"" (2019-02-06)",transformative voting hypothesis; voter turnout; civic engagement; regression discontinuity design; compulsory voting
"Democracy under High Inequality: Capacity, Spending and Participation",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZK7QPH,"Feb 6, 2019",Replication materials for the article. (2019-02-02),"Inequality, Participation, Democracy"
Presidential Success and the World Economy,/dataset.xhtml?persistentId=doi:10.7910/DVN/XG6QQX,"Feb 2, 2019","Includes data, replication code, and supplemental materials.",
Replication Data for: Endogenous Policymaking,/dataset.xhtml?persistentId=doi:10.7910/DVN/9F0SMU,"Feb 2, 2019","Supplemental information, data, and code for replication of results in the paper. (2019-02-01)",
"Replication Data for It's Not Only What You Say, It's Also How You Say It: The Strategic Use of Campaign Sentiment",/dataset.xhtml?persistentId=doi:10.7910/DVN/WG8VCK,"Jan 28, 2019","Replication files for ""It's Not Only What You Say, It's Also How You Say It: The Strategic Use of Campaign Sentiment""","Sentiment, Party Manifestos"
Replication Data for: Local Government Efficiency and Anti-Immigrant Violence,/dataset.xhtml?persistentId=doi:10.7910/DVN/IIE50D,"Jan 27, 2019",Replication Data for: Local Government Efficiency and Anti-Immigrant Violence. Datasets and replication do-files (Stata format). (2019-01-22),"Local government efficiency, anti-immigrant violence, immigrant integration, political deprivation"
"Replication Data for ""Dixie's Drivers: Core Values and the Southern Republican Realignment""",/dataset.xhtml?persistentId=doi:10.7910/DVN/M3O9O6,"Jan 27, 2019","This Dataverse Dataset contains the article data and code necessary to reproduce the Journal of Politics articled entitled ""Dixie's Drivers: Core Values and the Southern Republican Realignment,"" co-authored by Robert N. Lupton and Seth C. McKee. All analyses featured in this article were conducted using Stata 15. (2019-01-25)","Core values, partisanship, South, Southern Realignment"
Inequality Growth and Economic Policy Liberalism: An Updated Test of a Classic Theory,/dataset.xhtml?persistentId=doi:10.7910/DVN/KXIN0A,"Jan 24, 2019",Includes the STATA data file and a STATA do-file with model commands,income inequality
Replication Data for: No Easy Way Out: The Effect of Military Coups on State Repression,/dataset.xhtml?persistentId=doi:10.7910/DVN/FMX62W,"Jan 23, 2019","Replication data for: ""No Easy Way Out: The Effect of Military Coups on State Repression""",
"Replication Data for: ""What Explains Taxation by Resource-Rich Rebels? Evidence from the Islamic State in Syria""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9NYAP7,"Jan 23, 2019","Replication files for ""What Explains Taxation by Resource-Rich Rebels? Evidence from the Islamic State in Syria"" by Mara Redlich Revkin. Please see ""readme.rtf"" for instructions. (2019-01-20)",
Why So Secretive? Unpacking Public Attitudes Towards Secrecy and Success in U.S. Foreign Policy,/dataset.xhtml?persistentId=doi:10.7910/DVN/JWJRME,"Jan 15, 2019","Replication files for ""Why So Secretive? Unpacking Attitudes Towards Secrecy and Success in U.S. Foreign Policy"" by Rachel Myrick. See README for details. (2019-01-08)","covert action, transparency, U.S. foreign policy, survey experiment"
"How Do Electoral Quotas Influence Political Competition? Evidence from Municipal, State, and National Elections in India",/dataset.xhtml?persistentId=doi:10.7910/DVN/U07SDB,"Jan 15, 2019","Dataset and do files for ""How Do Electoral Quotas Influence Political Competition? Evidence from Municipal, State, and National Elections in India."" ""Auerbach-Ziegfeld JOP Replication File.do"" provides all of the code necessary to replicate all figures and tables in the main text of the article and the appendix. ""aa_az_JOP_local.dta"" is the local-level dataset. ""aa_az_JOP_state_national.dta"" is the state- and national-level dataset.",
"Replication Data for: Larsen, Martin Vinæs and Olsen, Asmus Leth: Reducing Bias in Citizens’ Perception of Crime Rates: Evidence From a Field Experiment on Burglary Prevalence.",/dataset.xhtml?persistentId=doi:10.7910/DVN/PUIROM,"Jan 15, 2019","This repository contains data and R script files for the analysis reported in Larsen, Martin Vinæs and Olsen, Asmus Leth: Reducing Bias in Citizens’ Perception of Crime Rates: Evidence From a Field Experiment on Burglary Prevalence. The authors would like to thank TrygFonden for funding with the project ""Raising Awareness without Raising Fears'' (ID=119942).","field experiment, debiasing, Denmark, misperception, crime, information campaigns, public opinion"
Replication Data for: Quid Pro Quo? Corporate Returns to Campaign Contributions,/dataset.xhtml?persistentId=doi:10.7910/DVN/BQGWYI,"Jan 15, 2019","These files replicate the results in “Quid Pro Quo? Corporate Returns to Campaign Contributions” by Anthony Fowler, Haritz Garro, and Jörg L. Spenkuch.",
"Replication Data for ""Bureaucratic Capacity and Class Voting: Evidence from Across the World and the United States""",/dataset.xhtml?persistentId=doi:10.7910/DVN/UQVN70,"Jan 15, 2019","Why do the rich and poor support different parties in some places? We argue that voting along class lines is more likely to occur where states can tax the income and assets of the wealthy. In low bureaucratic capacity states, the rich are less likely to participate in electoral politics because they have less to fear from redistributive policy. When wealthy citizens abstain from voting, politicians face a more impoverished electorate. Because politicians cannot credibly campaign on anti-tax platforms, they are less likely to emphasize redistribution and partisan preferences are less likely to diverge across income groups. Using cross-national survey data, we show there is more class voting in countries with greater bureaucratic capacity. We also show that class voting and fiscal capacity were correlated in the United States in the mid-1930s when state-level revenue collection and party systems were less dependent on national economic policy.","Class Voting, Redistributive Politics, State Capacity, American Political Behavior, Comparative Political Behavior"
Replication Data for: One Run Leads to Another: Minority Incumbents and the Emergence of Lower Ticket Minority Candidates,/dataset.xhtml?persistentId=doi:10.7910/DVN/IUXG2I,"Jan 15, 2019","This repository includes data and code needed to recreate Figure 1 in the main text and all tables and figures in the Online Appendix of ""One Run Leads to Another: Minority Incumbents and the Emergence of Lower Ticket Minority Candidates."" (2019-01-02)","Representation, Race and Ethnicity, State Legislative Elections, Congressional Elections, Minority Candidates"
"Replication Data for: ""Do Nonpartisan Programmatic Policies Generate Partisan Electoral Effects? Evidence from Two Large Scale Experiments""",/dataset.xhtml?persistentId=doi:10.7910/DVN/70SNIS,"Jan 7, 2019","These files replicate all the results in Kosuke Imai, Gary King, and Carlos Velasco Rivera ""Do Nonpartisan Programmatic Policies Have Partisan Electoral Effects? Evidence from Two Large Scale Experiments."" To replicate all the analyses reported in the main manuscript and supplementary appendix, simply follow the next steps: 0. create a folder in your local computer (e.g., programmatic) 1. Download all the files to the directory created in step 0 2. Untar all the .tar files 3. Set the working directory to replicate 4. In the command line run 4.1 Rscript required-packages.R 4.2 Rscript replicate-sps.R 4.3 Rscript replicate-progresa.R 4.4 Rscript replicate-additional-tests.R Together, these scripts dump all the paper figures and tables in the figures and tables directories. For convenience, the figures directory has two sub-directories for the figures in the paper and in the supplementary appendix (main-figures and online-appendix). The names of all tables and figures follow the order in the paper. (2019-12-13)","programmatic politics, progresa, seguro popular, electoral politics"
"Replication Data for: ""Was there a culture war? Partisan polarization and secular trends in U.S. public opinion""",/dataset.xhtml?persistentId=doi:10.7910/DVN/UFZTYU,"Jan 7, 2019",Replication material for article in the title. Please read the README.html file for instruction. (2018-12-22),"secular trends, partisan polarization, US public opinion, moral issues, culture war"
Replication Data for: How fair is it? An experimental study of perceived fairness of distributive policies,/dataset.xhtml?persistentId=doi:10.7910/DVN/3EONKV,"Dec 13, 2018","This repository contains data and R script files for the analysis reported in Rodon, Toni; Sanjaume-Calvet, Marc. ""How fair is it? An experimental study of perceived fairness of distributive policies"" The Journal of Politics",
Replication Data for: What is Regular Order Worth? Partisan Lawmaking and Congressional Processes,/dataset.xhtml?persistentId=doi:10.7910/DVN/LXIBYP,"Dec 10, 2018","These files provide all data and replication instructions for ""What is Regular Order Worth? Partisan Lawmaking and Congressional Processes"" (2018-12-07)","Congress, regular order, lawmaking, unorthodox lawmaking"
Replication Data for: Man Bites Blue Dog: Are Moderates Really More Electable than Ideologues?,/dataset.xhtml?persistentId=doi:10.7910/DVN/2UUQ25,"Dec 10, 2018",This includes data and replication files for Man Bites Blue Dog: Are Moderates Really More Electable than Ideologues? (2018-12-07),"ideology, elections, polarization"
"Replication Data for: ""Personalization of Power and Repression in Dictatorships.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/QNMUA1,"Dec 7, 2018","Reproduction materials for: ""Personalization of Power and Repression in Dictatorships.""",
The Shadow of the Future and Bargaining Delay: An Experimental Approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/VWPPVQ,"Dec 7, 2018","These files contain the replication material for ""The Shadow of the Future and Bargaining Delay: An Experimental Approach."" The file ""attrition_games.csv"" can be used to reproduce the main findings in the manuscript, while you will need to use ""attrition_players.csv"" to replicate the individual strategy analyses found in the online appendix. The file ""Bargaining Delay Replication"" contains the R code necessary to do all of the analysis in main manuscript and in the online appendices. (2015)","Time Horizons , Discount Factor , Bargaining , War of Attrition, Experiment"
Can Political Alignment be Costly?,/dataset.xhtml?persistentId=doi:10.7910/DVN/1CKNTW,"Dec 2, 2018","The repository includes all replication material for the paper. Please read the ""README.txt"" file for further details.",Political Alignment; Governing Party; Patronage; Health; Elections
Replication Data for “Policy and Performance in the New Deal Realignment: Evidence from Old Data and New Methods”,/dataset.xhtml?persistentId=doi:10.7910/DVN/UYGWOB,"Dec 2, 2018","This archive contains the data and code required to replicate the analyses in Devin Caughey, Michael C. Dougal, and Eric Schickler. Forthcoming. “Policy and Performance in the New Deal Realignment: Evidence from Old Data and New Methods.” Journal of Politics.",
Cities in the Statehouse: How Local Governments Use Lobbyists to Secure State Funding,/dataset.xhtml?persistentId=doi:10.7910/DVN/0DLNBL,"Nov 28, 2018",Data and replication code for main paper and on-line appendix. (2018-11-25),"lobbying, cities, intergovernmental transfers, inequality"
"Replication Code for: ""Past Place, Present Prejudice: The Impact of Adolescent Racial Context on White Racial Attitudes""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WKIJST,"Nov 26, 2018","This code transforms the relevant data sets and executes the analyses reported in the corresponding article ""Past Place, Present Prejudice."" Both data sets contain geographically restricted data which cannot be publicly posted; to obtain access to the Youth-Parent Socialization Panel Survey, please see here: https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/4037 (2018-10-26)",prejudice; racial threat; local contexts; adolescent political socialization
"Conservative Larks, Liberal Owls: The Relationship between Chronotype and Political Ideology",/dataset.xhtml?persistentId=doi:10.7910/DVN/DJVNZF,"Nov 22, 2018","Files include anonymized datasets for Samples 1 to 7, analysis code for Samples 1 to 8 (which also contains information on how to access the Add Health data for Sample 8), and code and data for Figure 1 in the paper and Figures S1 and S2 in the online appendix. (2017)","chronotype, political ideology, sleep, personality, motivated social cognition"
Replication Data for: Politics in Forgotten Governments: The Partisan Composition of County Legislatures and County Fiscal Policies,/dataset.xhtml?persistentId=doi:10.7910/DVN/E3FDAV,"Nov 20, 2018","County governments are a crucial component of the fabric of American democracy. Yet there has been almost no previous research on the policy effects of the partisan composition of county governments. Most counties in the United States have small legislatures, usually called commissions or councils, that set their budgets and other policies. In this study, we examine whether counties with Democratic legislators spend more than counties with Republican ones. We assemble an original dataset of 10,708 elections in approximately 298 medium and large counties over the past 25 years. Based on a regression discontinuity design, we find that electing a Democratic legislator rather than a Republican one leads the average county to increase spending by about 5%. Overall, our findings contribute to a growing literature on the policy consequences of partisan control of state and local government. They show that the partisan selection of county legislators has important policy effects in county governments.","local politics, representation, elections"
Replication Data for: The Ideological Basis of the Grexit Debate,/dataset.xhtml?persistentId=doi:10.7910/DVN/QOCGZA,"Nov 20, 2018","This repository contains replication materials for the study, ""The Ideological Basis of the Grexit Debate"" in The Journal of Politics. See the readme.txt for details. (2018-11-02)",
"“And why is that a partisan issue?” Source cues, persuasion, and school lunches",/dataset.xhtml?persistentId=doi:10.7910/DVN/YCQCWJ,"Nov 20, 2018",Data (.dta) and replication code (.do),
"Replication Data for: Income Inequality and Congressional Republican Position Taking, 1913-2013",/dataset.xhtml?persistentId=doi:10.7910/DVN/MZHZYQ,"Nov 20, 2018","Replication Data for: Income Inequality and Congressional Republican Position Taking, 1913-2013",
Legislative Term Limits and Polarization,/dataset.xhtml?persistentId=doi:10.7910/DVN/GDZTK8,"Nov 20, 2018","Contains files necessary to replicate results presented in ""Legislative Term Limits and Polarization"" by Michael P. Olson and Jon C. Rogowski, Journal of Politics. (2018)","polarization, representation, term limits, legislative behavior"
Replication Data for Government formation as logrolling in high-dimensional issue spaces,/dataset.xhtml?persistentId=doi:10.7910/DVN/E6H9FU,"Nov 11, 2018","Files and Data for Government formation as logrolling in high-dimensional issue spaces, JOP, Scott de Marchi and Michael Laver. (2018)",
"Replication Data for: More Donors, More Democracy",/dataset.xhtml?persistentId=doi:10.7910/DVN/SUQC9N,"Nov 11, 2018","Replication archive for ""More Donors, More Democracy"". Unzip scripts.zip, data.zip, and graphs.zip into the respective subfolders to maintain the file structure employed by the main scripts. (2018-11-06)",
"Replication Data for: ""Female Autocrats As Role Models? The Effect of Female Leaders on Political Knowledge and Engagement in Vietnam""",/dataset.xhtml?persistentId=doi:10.7910/DVN/VXQUBN,"Nov 11, 2018",The files include the PAPI survey dataset as well as the do file to produce the tables and figures found in the main text of the paper as well as the appendices. (2018-11-07),"gender, politics"
Replication Data for: Do People Really Become More Conservative as They Age?,/dataset.xhtml?persistentId=doi:10.7910/DVN/T8VCOF,"Nov 8, 2018",Replication Data for: Do People Really Become More Conservative as They Age?,
Replication Data for: The Gendered Effects of Violence on Political Engagement,/dataset.xhtml?persistentId=doi:10.7910/DVN/XTIHGR,"Nov 2, 2018","How does civil conflict affect political engagement? As violence of various forms -- from war to terrorism -- is becoming more frequent even in the developed world, understanding its political consequences is a pressing concern. We argue that violence makes citizens view politics as more combative and aggressive. Because the traits that align with these perceptions (e.g., dominance, aggressiveness, decisiveness) are associated more with masculinity than femininity, we hypothesize that violence increases engagement among men while reducing it among women. To test our argument, we conduct an experiment in Bosnia (N=1,125), the site of a major ethnic civil war in 1992-1995. The evidence confirms that past violence, when made salient, leads women to express significantly less and men significantly more desire to engage in politics. We conclude from these findings that violent conflict can introduce disparities in political engagement across gender, underscoring a significant challenge policymakers face in post-conflict societies.","political engagement, gender, violence, post-conflict, Eastern Europe"
Replication Data for: When Time Is of the Essence: A Natural Experiment on How Time Constraints Influence Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/DJKH4H,"Oct 23, 2018",Replication Data for: When Time Is of the Essence: A Natural Experiment on How Time Constraints Influence Elections,
Public Commitments as Signals of Responsiveness in the European Union,/dataset.xhtml?persistentId=doi:10.7910/DVN/XTS8IE,"Oct 23, 2018","Replication package for the article ""Public Commitments as Signals of Responsiveness in the European Union."" The package includes both Stata data sets and the do-file to replicate all figures and tables in the article and the appendix. (2018-10-15)",
