title,href,date,description,keywords
Replication Data for: Does Direct Democracy Hurt Immigrant Minorities? Evidence from Naturalization Decisions in Switzerland,/dataset.xhtml?persistentId=doi:10.7910/DVN/T8OYHT,"Apr 15, 2019","Do minorities fare worse under direct democracy than under representative democracy? We provide new evidence by studying naturalization requests of immigrants in Switzerland that were typically decided with referendums in each municipality. Using panel data from 1,400 municipalities for the 1991-2009 period, we exploit Federal Court rulings that forced municipalities to transfer the decisions to their elected municipality councils. We find that naturalization rates surged by 60% once politicians rather than citizens began deciding on naturalization applications. Whereas voters in referendums face no cost of arbitrarily rejecting qualified applicants based on discriminatory preferences, politicians in the council are constrained to formally justify rejections and may be held accountable by judicial review. Consistent with this mechanism, the increase in naturalization rates caused by switching from direct to representative democracy is much stronger for more marginalized immigrant groups and in areas where voters are more xenophobic or where judicial review is more salient.","Direct democracy, Representative democracy, Minority rights, Citizenship, Accountability"
Replication Data for: More Effective Than We Thought: Accounting for Legislative Hitchhikers Reveals a More Inclusive and Productive Lawmaking Process,/dataset.xhtml?persistentId=doi:10.7910/DVN/7ZVSYO,"Apr 12, 2019","This repository contains the replication material of the article ""More Effective Than We Thought: Accounting for Legislative Hitchhikers Reveals a More Inclusive and Productive Lawmaking Process"", to be published in the American Journal of Political Science, by Andreu Casas, Matthew Denny, and John Wilkerson. All files have been uploaded/submitted individually for long term preservation. These individual files however don't follow the original file structure. We STRONGLY RECOMMEND to download and use the double zipped file **00A_hitchhiker_bills_dataverse.tar.gz**, which follows the original file structure intended for the replication material.","Congress, Legislative effectiveness, Text as data, Legislative hitchhikers"
Replication Data for: Do Voters Polarize When Radical Parties Enter Parliament?,/dataset.xhtml?persistentId=doi:10.7910/DVN/DZ1NFG,"Apr 9, 2019","Do voters polarize ideologically when radical views gain political legitimacy, or does the rise of radical voices merely reflect societal conflict? We argue that the elite polarization as signalled by radical parties' first entrance into parliament leads to voter divergence. Immediately after the election, legitimization and backlash effects mean that voters on both ideological sides move towards the extremes. In the longer term, this polarization is solidified because of radical parties' parliamentary presence. A panel study of Dutch voters shows that the 2002 parliamentary entrance of a radical-right party indeed led to immediate ideological polarization across the political spectrum. Estimating time-series cross-sectional models on Eurobarometer data from 17 countries (1973--2016) shows an additional long-term impact of radical-right party entry on polarization. The presence of radical voices on the right has polarizing effects, illustrating how such institutional recognition and legitimation can have a far-reaching impact on society.","Political parties, Polarization"
Replication Data for: How Getting the Facts Right Can Fuel Partisan Motivated Reasoning,/dataset.xhtml?persistentId=doi:10.7910/DVN/FTFJTV,"Mar 13, 2019","Scholars often evaluate citizens' democratic competence by focusing on their ability to get relevant facts right. In this article, I show why this approach can yield misleading conclusions about citizen competence. I argue that while citizens with strong partisan loyalties might be forced to accept the same facts, they find alternative ways to rationalize reality. One such way, I show, is through the selective attribution of credit and blame. With four randomized experiments, conducted in diverse national settings and containing closed- as well as open-ended questions, I find that as partisans updated economic beliefs to reflect new facts, they conversely attributed responsibility in a highly selective fashion. Although partisans might acknowledge the same facts, they are apt in seizing on and producing attributional arguments that fit their preferred world views. (2018-11-29)","Partisan bias, Motivated reasoning"
"Replication Data for: Valence, Elections, and Legislative Institutions",/dataset.xhtml?persistentId=doi:10.7910/DVN/KGIBK5,"Mar 13, 2019","To the degree that voters care about competence, expertise, and other valence characteristics of their representatives and political parties care about winning elections, parties have an incentive to signal that their legislators have such characteristics. We construct a model of parties, motivated by both reelection and by policy, who attempt to signal individual incumbents valences to voters through the assignment of these members to positions of authority. The model illustrates how electorally-motivated party leaders will have an incentive to promote less competent incumbents than they would if voters did not make inferences from promotion decisions. We derive the model’s empirical implications and test them with original data on the careers of Chilean senators serving between 1998 and 2013. In support of the models insights, we find that promotion to a leadership position is an effective signal to voters only if the promoted incumbent has extreme views relative to the party.","Formal model, Legislative politics, Valence, Incumbency, Committees, Bayesian analysis"
Replication Data for: Non-Governmental Monitoring of Local Governments Increases Compliance with Central Mandates: A National-Scale Field Experiment in China,/dataset.xhtml?persistentId=doi:10.7910/DVN/CPVIOF,"Mar 7, 2019","Central governments face compliance problems when they rely on local governments to implement policy. In authoritarian political systems, these challenges are pronounced because local governments do not face citizens at the polls. In a national-scale, randomized field experiment in China, we test whether a public, non-governmental rating of municipal governments' compliance with central mandates to disclose information about the management of pollution increased compliance. We find significant and positive treatment effects on compliance after only one year that persists with reinforcement into a second post-treatment year. The public rating appears to decrease the costs of monitoring compliance for the central government without increasing public and media attention to pollution, highlighting when this mode of governance is likely to emerge. These results reveal important roles that non-state actors can play in enhancing the accountability of local governments in authoritarian political systems.","PITI, Pollution, Compliance, Transparency, Authoritarianism"
Replication Data for: Greater Expectations: A Field Experiment to Improve Accountability in Mali,/dataset.xhtml?persistentId=doi:10.7910/DVN/29040,"Mar 7, 2019","I argue that if citizens systematically underestimate what their government can and should do for them, then they will hold politicians to a lower standard and sanction poor performers less often. A field experiment across 95 localities in Mali in which randomly assigned localities receive a civics course identifies the effect of raising voter expectations of government on their willingness to hold leaders accountable. The course provides information about local government capacity and responsibility as well as how local politicians perform relative to others, effectively raising voter expectations of what local governments can and should do. Survey experiments among individuals in treated and control communities (N=5,560) suggest that people in treated villages are indeed more likely to sanction poor performers and vote based on performance more often. A behavioral outcome - the likelihood that villagers challenge local leaders at a town hall meeting - adds external validity to survey findings.","Government accountability, Voting behavior, Field experiments"
Replication Data for: Is Temperature Exogenous? The Impact of Civil Conflict on the Instrumental Climate Record in Sub-Saharan Africa,/dataset.xhtml?persistentId=doi:10.7910/DVN/IAPQ3X,"Mar 1, 2019","Research into the effects of climate on political and economic outcomes assumes that short-term variation in weather is exogenous to the phenomena being studied. However, weather data are derived from stations operated by national governments, whose political capacity and stability affect the quality and continuity of coverage. We show that civil conflict risk in Sub-Saharan Africa is negatively correlated with the number and density of weather stations contributing to a country’s temperature record. This effect is both cross-sectional—countries with higher average conflict risk tend to have poorer coverage—and cross-temporal—civil conflict leads to loss of weather stations. Poor coverage induces a small downward bias in one widely used temperature data set, due to its interpolation method, and increases measurement error, potentially attenuating estimates of the temperature-conflict relationship. Combining multiple observational data sets to reduce measurement error almost doubles the estimated effect of temperature anomalies on civil conflict risk.","Civil conflict, Climate, Temperature, Measurement error"
Replication Data for: Measuring and Explaining Political Sophistication Through Textual Complexity,/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI,"Feb 22, 2019","Political scientists lack domain-specific measures for the purpose of measuring the sophistication of political communication. We systematically review the shortcomings of existing approaches, before developing a new and better method along with software tools to apply it. We use crowdsourcing to perform thousands of pairwise comparisons of text snippets and incorporate these results into a statistical model of sophistication. This includes previously excluded features such as parts of speech and a measure of word rarity derived from dynamic term frequencies in the Google books dataset. Our technique not only shows which features are appropriate to the political domain and how, but also provides a measure easily applied and re-scaled to political texts in a way that facilitates probabilistic comparisons. We reanalyze the State of the Union corpus to demonstrate how conclusions differ when using our improved approach, including the ability to compare complexity as a function of covariates. (2018-09-13)","Text analysis, Political communication, Readability, Sophistication"
Replication Data for: On The Meaning of Survey Reports of Roll Call ``Votes'',/dataset.xhtml?persistentId=doi:10.7910/DVN/SSEN5A,"Feb 18, 2019","Contemporary efforts to evaluate representation often compare survey measures of how citizens say they would vote on legislation to what elected officials do in office. These comparisons generally suggest poor representation. We argue here that this common design is unlikely to effectively evaluate representation because responses to survey questions differ in important aspects from voting in legislatures. Measurement error and construct validity undermine the comparison. Three survey experiments show that providing partisan and non-partisan information readily available to legislators materially changes respondents' expressed preferences on roll call votes. With information, expressed policy positions are both less centrist and more closely matched to legislator behavior in their preferred party. Respondents also appear aware of their own lack of knowledge in evaluating roll call policy votes. The treatment effect of information decreases in confidence judging policy in that area. We show similar patterns for respondent opinions on Supreme Court decisions.","Representation, Roll-call voting, Survey response, Congress"
Replication Data for: Do Social Rights Affect Social Outcomes?,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y43XZR,"Feb 15, 2019","While the United Nations and NGOs are pushing for global judicialization of economic, social and cultural rights (ESCRs), little is known of their consequences. We provide evidence of the effects of introducing three types of ESCRs into the constitution: the rights to education, health and social security. Employing a large panel covering annual data from 160 countries in the period 1960-2010, we find no robust evidence of positive effects of ESCRs. We do, however, document adverse medium-term effects on education, inflation and civil rights. (2015-03-25)",Human rights
Replication Data for: Strategic Spending: Does Politics Influence Election Administration Expenditure?,/dataset.xhtml?persistentId=doi:10.7910/DVN/8KNF3I,"Feb 12, 2019","Abstract: Recently, election administration has been an important part of the national and global conversation about the results of elections. The important issue of election administration spending has not been examined extensively, and the influence of politics on election administration spending levels has not been examined in the United States. While theories of voter turnout and policy preference suggest that politics should influence election administration spending levels in the counties that administer elections, to our knowledge, there has been no evidence produced to support a partisan election administration expenditure effect. This research finds that Republican county commissions in North Carolina spend significantly less on election administration once the county electorate is a sufficient Republican majority. The paper presents a novel model and method for estimating election administration spending and calls for additional research to examine the outcomes of these significant differences in spending on election administration. (2018-08-31)","Elections, Administration, Budget, County"
Replication Data for: Direct Democracy and Women's Political Engagement,/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ,"Feb 4, 2019","What are the conditions that promote gender equality in political participation? In this paper, I propose that the presence of direct democracy expands the gender equality in political participation by signaling the system's openness to women's voice, confirming their political competency, and highlighting their stake in political decisions. To test this argument, I leverage a quasi-experiment in Sweden in the aftermath of the introduction of universal suffrage, where the type of municipal political institutions was determined by a population threshold. My findings lend strong support to the effect of direct democracy on political inclusion of women. I find that the gender gap in electoral participation was smaller in municipalities using direct democracy than in similarly-sized municipalities that only had representative institutions.","Political participation, Gender, Politics and government, Direct democracy"
"Replication Data for: Of Two Minds, But One Heart: A Good “Gut” Feeling Moderates the Effect of Ambivalence on Attitude Formation and Turnout",/dataset.xhtml?persistentId=doi:10.7910/DVN/AGIMGY,"Feb 4, 2019","Popular psychological accounts argue that successful candidates address their appeals to citizens’ “hearts” rather than their “heads.” Yet research on campaigns shows that candidates win elections by getting voters to think about particular issues—especially issues that create ambivalence in the minds of opposition supporters. This paper helps to reconcile these “heart-centered” and “head-centered” accounts of preference formation during campaigns. An original experiment and ANES data analyses (1980-2004) show that a “good gut feeling” toward a candidate helps citizens to overcome the paralyzing effect of ambivalence on attitude formation and turnout. And, since turnout is most tenuous among those with lower income, this is where the effect is most pronounced. Since Democratic candidates rely disproportionately on support from these lower income voters, it is particularly important that they inspire positive affect among latent supporters.","Emotions, Enthusiasm, Ambivalence, Attitude formation, Non-attitudes, Voter turnout"
Replication Data for: When Should We Use Unit Fixed Effects Regression Models for Causal Inference with Longitudinal Data?,/dataset.xhtml?persistentId=doi:10.7910/DVN/YUM3K8,"Jan 18, 2019","Many researchers use unit fixed effects regression models as their default methods for causal inference with longitudinal data. We show that the ability of these models to adjust for unobserved time-invariant confounders comes at the expense of dynamic causal relationships, which are permitted under an alternative selection-on-observables approach. Using the nonparametric directed acyclic graph, we highlight two key causal identification assumptions of unit fixed effects models: past treatments do not directly influence current outcome, and past outcomes do not affect current treatment. Furthermore, we introduce a new nonparametric matching framework that elucidates how various unit fixed effects models implicitly compare treated and control observations to draw causal inference. By establishing the equivalence between matching and weighted unit fixed effects estimators, this framework enables a diverse set of identification strategies to adjust for unobservables in the absence of dynamic causal relationships between treatment and outcome variables. We illustrate the proposed methodology through its application to the estimation of GATT membership effects on dyadic trade volume. (2018-11-21)","Panel data, Directed acyclic graph"
"Replication Data for: Violence, Non-violence, and the Effects of International Human Rights Law",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRZGTT,"Jan 16, 2019","Under what conditions are individuals more likely to approve of human rights abuses by their governments? While various theoretical expectations have been offered about public approval of repression, many of them have not been directly tested. We analyze the effects of differing opposition tactics, differing government tactics, and legal constraints on approval of repression through a series of survey experiments in India, Israel, and Argentina. Our results indicate that violent action by opposition groups consistently increases support for government repression. In the context of contentious politics, we find that the effects of international law vary by national context. While our respondents in India were less likely to approve of their government when told the government violated international law, the same information likely increased approval of the government in our Israel experiment. The findings provide insights into the micro-foundations of existing theories and suggest areas for theory refinement.","Violence, Human rights, Repression, International law, Public opinion, Experiment"
Replication Data for: How Government Reactions to Violence Worsen Social Welfare: Evidence from Peru,/dataset.xhtml?persistentId=doi:10.7910/DVN/HUZGPJ,"Jan 4, 2019","Dissident violence inflicts many costs on society, but some of the longest-lasting consequences for civilians may be indirect, due to the government's response. We explore how government policy responses affect social welfare, specifically through budgetary shifts. Using subnational violence and budgeting data for Peru, we demonstrate that attacks on soldiers during the budget negotiation period drive a shift from local social services, especially health, to defense. One soldier fatality implies a shift of 1.1% out of local health budgets (2008 - 2012). Health budget cuts due to a single soldier fatality result in 108 predicted additional infant deaths two years later. We show that the effect on health budgeting operates through decreases in women's use of health facilities and postnatal services. We offer evidence that Peru's coercive response indirectly harms civilians due to butter-to-guns budgetary shifts. Our results identify a budgetary mechanism that translates dissident violence into a deterioration in social welfare.","Conflicts, Terrorism, Government spending policy, Budget, Public welfare"
Replication Data for: Politics by Number: Indicators as Social Pressure in International Relations,/dataset.xhtml?persistentId=doi:10.7910/DVN/2O7CN0,"Dec 4, 2018","The ability to monitor state behavior has become a critical tool of international governance. Systematic monitoring allows for the creation of numerical indicators that can be used to rank, compare, and essentially censure states. This article argues that the ability to disseminate such numerical indicators widely and instantly constitutes an exercise of social power, with the potential to change important policy outputs. It explores this argument in the context of the United States’ efforts to combat trafficking in persons and find evidence that monitoring has important effects: Countries are more likely to criminalize human trafficking when they are included in the U.S. annual Trafficking in Persons Report, and countries that are placed on a “watch list” are also more likely to criminalize. These findings have broad implications for international governance and the exercise of soft power in the global information age. in AJPS publication (2014)",Global governance
Replication Data for: Influencing the Bureaucracy: The Irony of Congressional Oversight,/dataset.xhtml?persistentId=doi:10.7910/DVN/QC0RSU,"Dec 4, 2018","Does the President or Congress have more influence over policy making by the bureaucracy? Despite a wealth of theoretical guidance, progress on this important question has proven elusive due to competing theoretical predictions and severe difficulties in measuring agency influence and oversight. We use a survey of federal executives to assess political influence, congressional oversight and the policy preferences of agencies, committees, and the president on a comparable scale. Analyzing variation in political influence across and within agencies reveals that Congress is less influential relative to the White House when more committees are involved. While increasing the number of involved committees may maximize the electoral benefits for members, it may also undercut the ability of Congress as an institution to collectively respond to the actions of the presidency or the bureaucracy. (2014)","Congress, Bureaucracy, Agencies, President, Committees, Oversight"
"Replication Data for: Conflict-Induced Displacement, Understanding the Causes of Flight",/dataset.xhtml?persistentId=doi:10.7910/DVN/LP1SQY,"Dec 4, 2018","This study investigates circumstances that affect individuals’ decisions of whether or not to flee their homes during civilian conflicts. Building on the “choice-centered” approach to studying forced migration, I test the argument that people make a decision to flee or stay even under highly dangerous circumstances. Using primary data collected through a public opinion survey in Nepal, I test a number of hypotheses regarding the impact of factors such as violence, economic opportunity, physical infrastructure or geographical terrain, and social networks on forced migration, providing an individual-level test of the choice-centered approach to studying forced migration. The empirical results are consistent with the major hypotheses developed in aggregate-level studies and provide better insights into the factors that affect individual-level behavior. Beyond conflict, there are a number of significant economic, social, physical, and political factors that affect individuals’ choice to flee. (2013-01-01)","Forced migration, Internally displaced persons, Civil war, Nepal"
Replication Data for: Performance Federalism and Local Democracy: Theory and Evidence from School Tax Referenda,/dataset.xhtml?persistentId=doi:10.7910/DVN/29095,"Dec 4, 2018",Federal governments are increasingly employing empirical measures of lower-level government performance to ensure that provincial and local jurisdictions pursue national policy goals. We call this burgeoning phenomenon performance federalism and argue that it can distort democratic accountability in lower-level elections. We estimate the impact of a widely publicized federal indicator of local school district performance - one that we show does not allow voters to draw valid inferences about the quality of local educational institutions - on voter support for school tax levies in a U.S. state uniquely appropriate for this analysis. The results indicate that a signal of poor district performance increases the probability of levy failure - a substantively large and robust effect that disproportionately affects impoverished communities. The analysis employs a number of identification strategies and tests for multiple behavioral mechanisms to support the causal interpretation of these findings. (2015-02),"Federalism, Performance measurement, Voting behavior, New Public Management, Education politics, No Child Left Behind"
Replication Data for: Norms versus Action: Why Voters Fail to Sanction Malfeasance in Brazil,/dataset.xhtml?persistentId=doi:10.7910/DVN/WPVSMH,"Nov 28, 2018","We show that Brazilian voters strongly sanction malfeasant mayors when presented with hypothetical scenarios but take no action when given the same information about their own mayor. Partnering with the State Accounts Court of Pernambuco, we conducted a field experiment during the 2016 municipal elections in which the treatment group received information about official wrongdoing by their mayor. The treatment has no effect on self-reported voting behavior after the election, yet when informing about malfeasance in the context of a vignette experiment, we are able to replicate the strong negative effect found in prior studies. We argue that voters' behavior in the abstract reflects the comparatively strong norm against corruption in Brazil. Yet on election day, their behavior is constrained by factors such as attitudes toward local political dynasties and the greater salience of more pressing concerns like employment and health services. (2018-09-12)","Accountability, Elections, Brazil"
Replication Data for: Responsiveness Without Representation: Evidence from Minimum Wage Laws in U.S. States,/dataset.xhtml?persistentId=doi:10.7910/DVN/PB8X8P,"Oct 22, 2018","How well does public policy represent mass preferences in U.S. states? Current approaches provide an incomplete account of statehouse democracy because they fail to compare preferences and policies on meaningful scales. Here we overcome this problem by generating estimates of Americans' preferences on the minimum wage and compare them to observed policies both within and across states. Because we measure both preferences and policies on the same scale (U.S. dollars), we can quantify both the association of policy outcomes with preferences across states (responsiveness) and their deviation within states (bias). We demonstrate that while minimum wages respond to corresponding preferences across states, policy outcomes are more conservative than preferences in each state, with the average policy bias amounting to about two dollars. We also show that policy bias is substantially smaller in states with access to direct democratic institutions.","Representation, Public opinion, State politics, American politics, Minimum wage"
Replication Data for: Predispositions and the Political Behavior of American Economic Elites: Evidence from Technology Entrepreneurs,/dataset.xhtml?persistentId=doi:10.7910/DVN/OGVWDE,"Oct 15, 2018","Economic elites regularly seek to exert political influence. But what policies do they support? Many accounts implicitly assume economic elites are homogeneous and that increases in their political power will increase inequality. We shed new light on heterogeneity in economic elites' political preferences, arguing that economic elites from an industry can share distinctive preferences due in part to sharing distinctive predispositions. Consequently, how increases in economic elites' influence affect inequality depends on which industry's elites are gaining influence and which policy issues are at stake. We demonstrate our argument with four original surveys, including the two largest political surveys of American economic elites to date: one of technology entrepreneurs---whose influence is burgeoning---and another of campaign donors. We show that technology entrepreneurs support liberal redistributive, social, and globalistic policies but conservative regulatory policies---a bundle of preferences rare among other wealthy individuals. These differences appear to arise partly from their distinctive predispositions. (2018-08-13)","Economic elites, Political representation, Public opinion, Predispositions"
